Seimo nariai;Nedalyvavo;Prieš;Už;Susilaikė;Registravosi;Už A;Už B
Agnė Bilotaitė;905;95;509;126;10;17;8
Agnė Jakavičiutė-Miliauskienė;783;47;715;83;13;15;14
Agnė Širinskienė;540;70;820;165;18;37;20
Aidas Gedvilas;370;145;952;102;38;24;39
Aistė Gedvilienė;553;105;741;188;25;40;18
Algimantas Radvila;422;98;977;110;12;12;39
Algirdas Butkevičius;712;49;753;105;11;23;17
Algirdas Sysas;471;130;901;95;11;20;42
Alvydas Mockus;178;99;1169;145;4;21;54
Andrius Bagdonas;57;74;1183;276;1;62;17
Andrius Busila;397;154;971;72;4;24;48
Antanas Nedzinskas;261;55;1118;136;28;33;39
Arminas Lydeka;884;66;566;109;12;26;7
Artūras Skardžius;698;70;795;68;12;14;13
Artūras Zuokas;514;88;815;180;20;28;25
Arūnas Dudėnas;186;76;1186;144;6;23;49
Arūnas Valinskas;645;147;706;98;18;37;19
Arvydas Anušauskas;580;85;698;202;47;45;13
Arvydas Pocius;390;127;830;251;10;44;18
Audrius Petrošius;524;105;834;147;6;39;15
Audrius Radvilavičius;255;125;1124;102;5;22;37
Audronius Ažubalis;702;63;609;212;31;40;13
Aušrinė Norkienė;676;58;725;163;7;27;14
Birutė Vėsaitė;546;155;851;38;17;17;46
Bronis Ropė;247;184;985;181;9;29;35
Česlav Olševski;810;70;570;188;13;10;9
Dainius Gaižauskas;432;172;814;149;46;23;34
Dainius Kreivys;1059;88;398;76;12;28;9
Dainius Varnas;519;128;866;86;15;30;26
Dainoras Bradauskas;590;86;870;69;8;22;25
Daiva Petkevičienė;293;139;1059;102;5;31;41
Daiva Ulbinaitė;268;145;893;253;44;46;21
Daiva Žebelienė;513;72;902;111;13;30;29
Dalia Asanavičiūtė-Gružauskienė;616;144;696;148;6;44;16
Darius Jakavičius;58;177;1266;83;6;24;56
Darius Razmislevičius;105;147;1238;101;7;16;56
Domas Griškevičius;395;89;966;136;23;37;24
Dovilė Šakalienė;1348;53;249;6;3;4;7
Edita Rudelienė;420;93;903;184;6;45;19
Eimantas Kirkutis;383;141;908;169;22;21;26
Emanuelis Zingeris;1299;29;274;43;6;18;1
Eugenijus Gentvilas;705;135;610;176;3;25;16
Eugenijus Sabutis;815;29;695;100;9;8;14
Giedrė Balčytytė;573;155;719;147;11;44;21
Giedrimas Jeglinskas;936;45;583;61;20;14;11
Giedrius Drukteinis;708;106;785;20;8;12;31
Gintarė Skaistė;672;107;640;175;33;27;16
Gintautas Paluckas;1080;69;468;28;4;8;13
Ignas Vėgėlė;414;196;769;215;18;28;30
Ilona Gelažnikienė;261;126;1111;98;6;19;49
Indrė Kižienė;484;137;928;53;9;24;35
Inga Ruginienė;1256;63;309;24;3;3;12
Ingrida Braziulienė;80;69;1242;205;1;26;47
Ingrida Šimonytė;698;167;623;119;19;32;12
Jaroslav Narkevič;684;66;688;144;46;21;21
Jekaterina Rojaka;353;78;994;164;13;42;26
Jevgenij Šuklin;77;135;1190;186;2;58;22
Julius Sabatauskas;558;65;892;99;24;10;22
Juozas Olekas;590;100;855;68;11;19;27
Jūratė Zailskienė;468;62;952;131;5;15;37
Jurgis Razma;426;137;842;160;41;43;21
